,state,x,y
0,Alabama,148.0,-81.0
1,Alaska,-225.0,-179.0
2,Arizona,-204.0,-34.0
3,Arkansas,53.0,-40.0
4,California,-304.0,22.0
5,Colorado,-111.0,24.0
6,Connecticut,296.0,96.0
7,Delaware,277.0,43.0
8,Florida,229.0,-142.0
9,Georgia,195.0,-79.0
10,Hawaii,-313.0,-142.0
11,Idaho,-222.0,128.0
12,Illinois,92.0,43.0
13,Indiana,136.0,38.0
14,Iowa,31.0,81.0
15,Kansas,-33.0,17.0
16,Kentucky,152.0,-0.0
17,Louisiana,60.0,-117.0
18,Maine,319.0,174.0
19,Maryland,273.0,28.0
20,Massachusetts,311.0,112.0
21,Michigan,149.0,112.0
22,Minnesota,27.0,154.0
23,Mississippi,96.0,-83.0
24,Missouri,62.0,10.0
25,Montana,-162.0,166.0
26,Nebraska,-44.0,60.0
27,Nevada,-266.0,73.0
28,New Hampshire,302.0,127.0
29,New Jersey,282.0,63.0
30,New Mexico,-122.0,-43.0
31,New York,238.0,112.0
32,North Carolina,241.0,-17.0
33,North Dakota,-59.0,166.0
34,Ohio,175.0,55.0
35,Oklahoma,-12.0,-33.0
36,Oregon,-301.0,146.0
37,Pennsylvania,220.0,70.0
38,Rhode Island,313.0,97.0
39,South Carolina,223.0,-56.0
40,South Dakota,-54.0,115.0
41,Tennessee,112.0,-33.0
42,Texas,-37.0,-99.0
43,Utah,-192.0,39.0
44,Vermont,287.0,142.0
45,Virginia,242.0,16.0
46,Washington,-272.0,198.0
47,West Virginia,199.0,29.0
48,Wisconsin,73.0,118.0
49,Wyoming,-147.0,92.0
